"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC04"|3273|"Carlos Mota Pinto"|"Primeiro-Ministro"|21-11-1978|30-07-1979
"GC04"||"Álvaro Monjardino"|"Ministro Adjunto do Primeiro Ministro"|21-11-1978|30-07-1979
"GC04"||"José Alberto Loureiro dos Santos"|"Ministro da Defesa Nacional"|21-11-1978|30-07-1979
"GC04"||"Manuel Jacinto Nunes"|"Ministro das Finanças e Plano"|21-11-1978|30-07-1979
"GC04"||"Manuel Jacinto Nunes"|"Vice Primeiro-Ministro de Assuntos Económicos e Integração Europeia"|21-11-1978|30-07-1979
"GC04"||"António Gonçalves Ribeiro"|"Ministro da Administração Interna"|21-11-1978|30-07-1979
"GC04"||"Eduardo Silva Correia"|"Ministro da Justiça"|21-11-1978|30-07-1979
"GC04"||"João de Freitas Cruz"|"Ministro dos Negócios Estrangeiros"|21-11-1978|30-07-1979
"GC04"||"Apolinário Vaz Portugal"|"Ministro da Agricultura e Pescas"|21-11-1978|30-07-1979
"GC04"|9|"Álvaro Barreto"|"Ministro da Indústria e Tecnologia"|21-11-1978|30-07-1979
"GC04"||"Abel Repolho Correia"|"Ministro do Comércio e Turismo"|21-11-1978|30-07-1979
"GC04"||"Eusébio Marques de Carvalho"|"Ministro do Trabalho"|21-11-1978|30-07-1979
"GC04"|376|"Luís Valente de Oliveira"|"Ministro da Educação e Investigação Científica"|21-11-1978|30-07-1979
"GC04"||"Acácio Pereira Magro"|"Ministro dos Assuntos Sociais"|21-11-1978|30-07-1979
"GC04"||"José Marques da Costa"|"Ministro dos Transportes e Comunicações"|21-11-1978|30-07-1979
"GC04"||"João Almeida Pina"|"Ministro da Habitação e Obras Públicas"|21-11-1978|30-07-1979
"GC04"||"Daniel Proença de Carvalho"|"Ministro do Comunicação Social"|21-11-1978|30-07-1979
"GC04"||"José Lima de Carvalho"|"Subsecretário de Estado Adjunto do Ministro da Agricultura e Pescas"|21-11-1978|30-07-1979
"GC04"|3572|"Carlos Alberto Rosa"|"Subsecretário de Estado Adjunto do Ministro da Educação e Investigação Científica"|21-11-1978|30-07-1979
"GC04"||"António Daniel"|"Subsecretário de Estado da Administração Escolar"|21-11-1978|30-07-1979
"GC04"||"António Joaquim Carvalho"|"Subsecretário de Estado do Orçamento"|21-11-1978|30-07-1979
"GC05"||"Maria de Lurdes Pintasilgo"|"Primeiro-Ministro"|31-07-1079|02-01-1980
"GC05"||"Manuel da Costa Brás"|"Ministro Adjunto para a Administração Interna"|31-07-1079|02-01-1980
"GC05"||"Alfredo Bruto da Costa"|"Ministro da Coordenação Social e dos Assuntos Sociais"|31-07-1079|02-01-1980
"GC05"||"Alfredo Bruto da Costa"|"Ministro dos Assuntos Sociais"|31-07-1079|02-01-1980
"GC05"||"José Alberto Loureiro dos Santos"|"Ministro da Defesa Nacional"|31-07-1079|02-01-1980
"GC05"||"João de Freitas Cruz"|"Ministro dos Negócios Estrangeiros"|31-07-1079|02-01-1980
"GC05"||"Pedro Sousa Macedo"|"Ministro da Justiça"|31-07-1079|02-01-1980
